pattern,seed,fastest_label,length,mean,std,min_val,max_val,range,fraction_unique,duplicates_ratio,sortedness_score,runs_count,runs_fraction,time_quick,time_merge,time_heap
random,42,quick,100,48694.34,29910.712691014236,851,99458,98607,1.0,0.0,0.43434343434343436,57,0.57,9.579816833138466e-07,1.6250123735517263e-06,1.4159886632114649e-06
random,101,quick,100,48084.92,27524.713801483933,779,97579,96800,1.0,0.0,0.47474747474747475,53,0.53,9.580107871443033e-07,1.2920063454657793e-06,1.4170072972774506e-06
random,999,quick,100,47881.9,28965.565249965344,1925,98148,96223,1.0,0.0,0.47474747474747475,53,0.53,9.160139597952366e-07,1.2920063454657793e-06,1.4580145943909883e-06
random,1234,quick,100,42891.79,29519.84598208297,757,93508,92751,1.0,0.0,0.45454545454545453,55,0.55,9.170034900307655e-07,1.3329845387488604e-06,1.4580145943909883e-06
random,5678,quick,100,53247.1,25882.309308676457,402,98854,98452,1.0,0.0,0.5353535353535354,47,0.47,9.170034900307655e-07,1.3329845387488604e-06,1.4579854905605316e-06
nearly_sorted,42,quick,100,49.5,28.86607004772212,0,99,99,1.0,0.0,0.9090909090909091,10,0.1,7.500057108700275e-07,1.00000761449337e-06,1.4580145943909883e-06
nearly_sorted,101,quick,100,49.5,28.86607004772212,0,99,99,1.0,0.0,0.898989898989899,11,0.11,7.089984137564898e-07,9.160139597952366e-07,1.4590041246265173e-06
nearly_sorted,999,quick,100,49.5,28.86607004772212,0,99,99,1.0,0.0,0.9090909090909091,10,0.1,7.500057108700275e-07,8.750066626816988e-07,1.4579854905605316e-06
nearly_sorted,1234,quick,100,49.5,28.86607004772212,0,99,99,1.0,0.0,0.898989898989899,11,0.11,8.33999365568161e-07,1.0840012691915035e-06,1.541979145258665e-06
nearly_sorted,5678,quick,100,49.5,28.86607004772212,0,99,99,1.0,0.0,0.9090909090909091,10,0.1,7.089984137564898e-07,9.579816833138466e-07,1.4580145943909883e-06
reverse_sorted,42,merge,100,50.5,28.86607004772212,1,100,99,1.0,0.0,0.0,100,1.0,7.920025382190943e-07,6.67001586407423e-07,1.4579854905605316e-06
